계약날짜,거래금액(만원)
201207,0.026647504999426364
201208,-0.0711256170215866
201209,0.09978189149885819
201210,0.005309401271941461
201211,0.023943401491501426
201212,-0.010476153982309722
201301,0.0199745220863623
201302,0.004928175057325568
201303,-0.02188296455951344
201304,-0.028764484072593355
201305,-0.00643528780057212
201306,0.003371006989800529
201307,-0.08445625486526087
201308,0.00941051626099898
201309,0.03669643694966496
201310,0.027786131322510954
201311,0.05101188041578397
201312,0.014785403304731881
201401,0.020567030550975085
201402,-0.03581744545637555
201403,-0.027415168047518645
201404,0.012655033443895292
201405,-0.011392979710890483
201406,0.015382598444082074
201407,0.019521034653089187
201408,0.015197515722853217
201409,-0.01463098467741919
201410,-0.013584461346488608
201411,0.0014531706643607922
201412,-0.008595163901969793
201501,0.00474810528737768
201502,-4.378990409770189e-05
201503,0.016047987724319146
201504,0.018571294766750457
201505,0.01924074278602328
201506,-0.01910922349087618
201507,0.009025201482615541
201508,-0.015790972384545632
201509,0.03026056240945474
201510,0.0649685562085196
201511,0.05588851042729792
201512,-0.05601881968397482
201601,-0.04928237158898807
201602,-0.021756882548148115
201603,0.03043492833731909
201604,0.099655724935104
201605,0.04241993742965189
201606,-0.020151763820663415
201607,-0.036430848632737156
201608,0.04956428402648938
201609,0.02025872202703627
201610,-0.0104932685585577
201611,-0.06444815760969946
201612,0.05561232592443388
201701,-0.02502832135667976
201702,0.024583343528811863
201703,0.017062111037324357
201704,0.053456611538040155
201705,0.058849065321674
201706,-0.07700528518873151
201707,0.07416650079888476
201708,-0.08201975884741286
201709,0.14811472863548492
201710,-0.005136756727738501
201711,0.10443033357437748
201712,-0.004604073880846937
201801,-0.014369714047072102
201802,-0.1289640650402759
201803,-0.04473393502663736
201804,0.01853440037757803
201805,-0.014253527746235894
201806,0.02036898208664062
201807,0.16269153017187654
201808,0.022478775648653304
201809,-0.015755399133290826
201810,-0.07524654056084312
201811,-0.013907751712062155
201812,-0.055302957903438754
201901,0.01949569080764002
201902,0.015280252511103765
201903,0.11780577201258491
201904,0.10202881319900081
201905,0.11498544069899119
201906,0.0026252218248838943
201907,0.0040238416819502465
201908,-0.07283584755839378
201909,0.06818717985918576
201910,-0.01232771340202532
201911,-0.013976914835780674
201912,-0.09869188363829351
202001,-0.12888199927380073
202002,0.04892570557645204
202003,-0.0322543428060047
202004,0.07043169446302566
202005,0.13377390984225235
202006,0.07149911925658703
202007,-0.005596175790437696
202008,0.10115750288890624
202009,-0.002095265798064072
202010,-0.05343839467704514
202011,0.09627154068874488
202012,0.05882587459237554
202101,-0.033877029908930045
202102,-0.002331562652720387
202103,-0.03084280169069631
202104,0.08008432940175259
202105,-0.06266508089508205
202106,-0.01510658510857521
202107,0.0745728698777397
202108,0.031032601908658197
202109,0.04476150456615402
202110,-0.03412295745429006
202111,-0.015066552660529364
202112,-0.0011565465942686703
202201,-0.10865435556472236
202202,0.0006423552270629074
202203,0.043947688469683666
202204,0.15703539171516767
202205,-0.1778864127336529
